num_nodes,spectral_gap,avg_shortest_path,cost
186.0,0.0001667624396436418,142.05095541401275,159.34425996852514
187.0,0.0001629513984620079,141.50159744408947,158.76663254387424
188.0,0.00015926952010802964,140.95192307692307,158.18872371037946
189.0,0.00015571103314426793,140.40192926045017,157.61053139301814
190.0,0.00015227048494637074,139.8516129032258,157.03205341280196
191.0,0.00014894272076482196,139.3009708737864,156.45328749032387
192.0,0.00014572286443736981,138.75,155.87423124896992
193.0,0.00014260630048701373,138.1986970684039,155.2948822178453
194.0,0.00013958865760832495,137.64705882352942,154.71523783441597
195.0,0.00013666579329907336,137.0950819672131,154.13529544690985
196.0,0.00013383377965359156,136.54276315789474,153.55505231647703
197.0,0.0001310888901560059,135.990099009901,152.97450561913806
198.0,0.0001284275874227081,135.43708609271522,152.3936524475311
199.0,0.00012584651178981776,134.88372093023256,151.81248981247694
200.0,0.00012334247069711868,134.33,151.23101464437121
201.0,0.00012091242884149089,133.77591973244148,150.64922379441046
202.0,0.0001185534989407433,133.2214765100671,150.0671140356792
203.0,0.00011626293317557046,132.66666666666666,149.48468206408816
204.0,0.00011403811517862739,132.11148648648648,148.9019244991863
205.0,0.0001118765525595089,131.55593220338983,148.31883788484964
206.0,0.00010977586991733901,131.0,147.7354186898555
207.0,0.00010773380230810758,130.44368600682594,147.1516633083484
208.0,0.00010574818916075923,129.88698630136986,146.56756806019894
209.0,0.00010381696853789535,129.3298969072165,145.9831291912742
210.0,0.00010193817177683862,128.77241379310345,145.39834287361296
211.0,0.0001001099185001797,128.21453287197232,144.81320520550906
212.0,9.833041186957381e-05,127.65625,144.22771221152337
213.0,9.659793419924956e-05,127.09756097560975,143.6418598424057
214.0,9.491084280355278e-05,126.53846153846153,143.05564397494715
215.0,9.326756608885045e-05,125.97894736842105,142.46906041176194
216.0,9.166659990456072e-05,125.41901408450704,141.88210488099554
217.0,9.010650409690957e-05,124.85865724381625,141.29477303596906
218.0,8.858589927629446e-05,124.29787234042553,140.70706045475782
219.0,8.71034637452972e-05,123.73665480427046,140.11896263971235
220.0,8.565793064740923e-05,123.175,139.53047501691256
221.0,8.424808525742122e-05,122.61290322580645,138.94159293556692
222.0,8.28727624144765e-05,122.05035971223022,138.35231166735724
223.0,8.153084413375922e-05,121.48736462093864,137.762626405722
